Year,ESA_CCI,MOD12C1,PRODES
2001,-9010.08,-11932.64153,-18165
2002,-13100.22,-24015.26889,-21650
2003,-107361.63,-28348.33642,-25396
2004,-2248.29,-31156.18632,-27772
2005,-1799.91,-24051.09064,-19014
2006,-1507.05,-17707.09345,-14286
2007,-1622.97,-10141.21483,-11651
2008,26.82000001,-8562.158038,-12911
2009,-51.48,-8502.447052,-7464
2010,-2249.28,-6133.423091,-7000
2011,-1339.29,-4518.751027,-6418
2012,-1232.19,-5733.472828,-4571
2013,-46.43999999,-3714.125914,-5891
2014,-5.85000001,-8958.032819,-5012
2015,423.27,-9870.934267,-6207
2016,36.18000001,290.615562,-7893
2017,860.76,-5156.124469,-6947
2018,1611.99,-3569.174918,-7536
